site_protocol_code,range_code,survey_point_number,deployment_cycle,range_name,aru_sampling_rate,aru_recording_time_in_seconds,aru_sleep_time_in_seconds,aru_sampling_times,first_file_date,first_file_time,last_file_date,last_file_time,notes,latitude,longitude,elevation_in_metres
LEEW_PO31_D2,LEEW,PO31,D2,Leeward,32000,300,900,04:00-07:00; 10:00-14:00; 17:30-19:00,20250114,104000,20250210,110000,NA,13.252077,-61.206625,457.5426025
LEEW_PO31_D3,LEEW,PO31,D3,Leeward,32000,300,900,04:00-07:00; 10:00-14:00; 17:30-19:00,20250319,110000,20250415,104000,NA,13.252077,-61.206625,457.5426025
LEEW_PO31_D4,LEEW,PO31,D4,Leeward,32000,300,900,04:00-07:00; 10:00-14:00; 17:30-19:00,20250429,115000,20250527,44000,NA,13.252077,-61.206625,457.5426025
LEEW_PO32_D1,LEEW,PO32,D1,Leeward,32000,300,900,04:00-07:00; 10:00-14:00; 17:30-19:00,20241107,124000,20241211,112000,NA,13.241681,-61.215482,364.4623108
LEEW_PO32_D2,LEEW,PO32,D2,Leeward,32000,300,900,04:00-07:00; 10:00-14:00; 17:30-19:00,20250114,104000,20250214,53000,NA,13.241681,-61.215482,364.4623108
LEEW_PO32_D3,LEEW,PO32,D3,Leeward,32000,300,900,04:00-07:00; 10:00-14:00; 17:30-19:00,20250319,103000,20250419,50000,NA,13.241681,-61.215482,364.4623108
LEEW_PO32_D4,LEEW,PO32,D4,Leeward,32000,300,900,04:00-07:00; 10:00-14:00; 17:30-19:00,20250429,115000,20250526,181000,NA,13.241681,-61.215482,364.4623108
LEEW_PO33_D1,LEEW,PO33,D1,Leeward,32000,300,900,04:00-07:00; 10:00-14:00; 17:30-19:00,20241107,173000,20241212,112000,NA,13.239177,-61.224032,316.3923645
LEEW_PO33_D2,LEEW,PO33,D2,Leeward,32000,300,900,04:00-07:00; 10:00-14:00; 17:30-19:00,20250114,100000,20250212,124000,NA,13.239177,-61.224032,316.3923645
LEEW_PO33_D3,LEEW,PO33,D3,Leeward,32000,300,900,04:00-07:00; 10:00-14:00; 17:30-19:00,20250319,100000,20250410,125000,NA,13.239177,-61.224032,316.3923645
LEEW_PO33_D4,LEEW,PO33,D4,Leeward,32000,300,900,04:00-07:00; 10:00-14:00; 17:30-19:00,20250429,105000,20250530,104000,NA,13.239177,-61.224032,316.3923645
LEEW_PO34_D1,LEEW,PO34,D1,Leeward,32000,300,900,04:00-07:00; 10:00-14:00; 17:30-19:00,20241120,102000,20241223,103000,NA,13.236242,-61.241702,381.084198
LEEW_PO34_D2,LEEW,PO34,D2,Leeward,32000,300,900,04:00-07:00; 10:00-14:00; 17:30-19:00,20250114,100000,20250215,110000,NA,13.236242,-61.241702,381.084198
LEEW_PO34_D3,LEEW,PO34,D3,Leeward,32000,300,900,04:00-07:00; 10:00-14:00; 17:30-19:00,20250319,100000,20250408,121000,NA,13.236242,-61.241702,381.084198
LEEW_PO34_D4,LEEW,PO34,D4,Leeward,32000,300,900,04:00-07:00; 10:00-14:00; 17:30-19:00,20250429,63000,20250525,124000,NA,13.236242,-61.241702,381.084198
LEEW_PO35_D1,LEEW,PO35,D1,Leeward,32000,300,900,04:00-07:00; 10:00-14:00; 17:30-19:00,20241120,125000,20241223,112000,NA,13.217608,-61.233798,537.2063599
